newid,ln_spending,ln_income,weights
03656584,8,11,12674
03656594,8,12,7515
03656684,8,10,21966
03656694,10,7,12537
03656724,9,10,12165
03656734,10,9,8907
03656744,8,10,11606
03656754,9,10,11218
03656804,8,11,12671
03656814,10,12,13745
03656824,10,12,7538
03656834,7,9,18331
03656854,10,13,12335
03656864,9,11,14182
03656884,9,11,12114
03656914,10,11,12216
03656924,7,9,12900
03656934,10,11,7923
03656964,10,11,13236
03656974,7,10,1405
03656984,11,9,10036
03656994,11,11,6016
03657004,8,11,12006
03657014,7,9,11340
03657054,7,8,9141
03657064,11,12,8883
03657074,10,11,12315
03657094,9,11,12722
03657114,7,8,6699
03657154,11,11,4690
03657164,10,11,12965
03657184,10,10,13882
03657204,10,11,7387
03657234,7,7,11998
03657254,10,11,14075
03657264,9,9,11407
03657274,8,11,7109
03657284,10,11,12214
03657324,8,11,15943
03657334,10,11,15981
03657344,7,10,10079
03657354,9,11,11245
03657374,9,11,8072
03657384,10,11,6421
03657394,12,12,9043
03657414,10,11,9002
03657424,8,11,7827
03657444,11,12,10284
03657474,9,12,10943
03657484,10,11,19568
03657494,9,12,8141
03657504,7,10,10655
03657544,11,13,7395
03657554,10,11,7638
03657594,8,10,13002
03657604,10,10,5537
03657614,7,10,17032
03657624,9,10,9968
03657634,8,11,7833
03657654,8,10,9394
03657674,10,11,10461
03657734,11,12,13690
03657744,10,10,12995
03657764,10,12,9757
03657814,7,10,10637
03657824,10,11,9136
03657864,10,8,10104
03657884,7,10,10909
03657904,9,11,8810
03657914,10,11,15380
03657924,10,12,6515
03657984,9,11,7103
03658104,10,12,9385
03658114,8,7,7951
03658134,10,11,12595
03658144,10,12,10017
03658154,10,10,8468
03658184,10,11,9632
03658214,11,12,8783
03658234,9,10,13811
03658264,11,11,8523
03658284,11,11,13186
03658324,8,11,17235
03658334,10,11,8889
03658344,8,10,11385
03658384,8,11,9940
03658404,11,10,10506
03658414,13,12,18002
03658424,10,12,6523
03658434,8,7,8867
03658484,12,12,15500
03658534,9,9,11684
03658554,11,12,10503
03658574,7,9,28879
03658584,11,10,9539
03658604,8,11,8382
03658614,8,9,9401
03658624,10,12,1205
03658644,9,10,7692
03658654,10,12,12017
03658664,11,11,12837
03658674,10,9,8015
03658684,7,10,12058
03658694,8,11,8499
03658704,10,11,15941
03658714,10,11,11575
03658734,8,11,8253
03658744,7,10,8614
03658764,8,10,8535
03658794,8,11,10289
03658804,10,11,10641
03658904,10,11,5749
03658914,10,12,11989
03658954,10,11,11595
03659014,10,11,10393
03659024,10,10,8770
03659044,10,12,11736
03659054,8,7,11627
03659064,11,11,10293
03659084,9,10,10069
03659094,11,12,8667
03659104,9,10,9544
03659164,7,10,10696
03659184,11,12,12191
03659224,8,10,13719
03659234,10,11,11804
03659264,10,11,10550
03659274,10,10,12131
03659344,9,10,7432
03659354,8,11,10463
03659374,9,7,12011
03659434,10,11,13074
03659444,11,11,10028
03659454,10,11,7322
03659484,7,10,9934
03659494,10,12,11405
03659504,11,11,9535
03659554,10,11,11840
03659574,8,10,10607
03659584,9,10,9816
03659664,9,11,9491
03659684,10,12,8718
03659694,11,12,10192
03659714,10,12,19046
03659724,10,12,11895
03659754,7,0,9967
03659764,10,12,10049
03659794,8,10,9925
03659814,11,11,13396
03659844,8,11,10948
03659854,11,11,11092
03659914,10,11,13044
03659924,10,10,12063
03659954,9,10,11245
03659984,8,11,3367
03659994,6,9,30620
03660014,9,12,16808
03660034,11,8,8348
03660064,8,10,20781
