newid,ln_spending,ln_income,weights
03762573,10,12,8269
03762574,10,12,9286
03762603,9,10,8619
03762604,9,10,11262
03762624,11,12,12455
03762643,8,10,14021
03762644,8,10,17519
03762653,11,12,7815
03762654,11,11,6205
03762684,9,7,19627
03762723,9,11,19935
03762724,9,11,19776
03762743,10,12,12943
03762823,11,11,3545
03762824,11,11,4462
03762833,11,12,11611
03762834,11,,9672
03762853,11,12,10634
03762854,11,12,14673
03762873,12,12,11011
03762874,12,12,11467
03762883,12,12,13072
03762884,11,12,9621
03762893,13,12,12855
03762894,13,12,15933
03762923,9,11,9830
03762924,9,11,9784
03762934,12,,9674
03762953,9,11,11668
03762954,9,11,8685
03762973,13,10,9365
03762974,13,11,12575
03762983,11,11,6233
03762984,12,11,5075
03763003,11,11,11133
03763004,11,11,11150
03763023,11,10,8913
03763024,9,10,9992
03763043,11,11,11138
03763044,11,11,13497
03763073,11,10,10536
03763074,11,11,12434
03763103,12,12,8094
03763104,12,12,7589
03763113,9,9,7528
03763114,9,9,9469
03763123,12,11,13084
03763124,12,11,13687
03763143,13,12,15087
03763144,13,13,14681
03763153,12,11,13239
03763154,12,12,19840
03763173,12,12,10977
03763174,11,12,6921
03763183,9,9,6565
03763184,9,10,7412
03763213,9,10,2950
03763224,12,12,12229
03763243,9,9,10203
03763244,9,,10310
03763274,11,11,12959
03763294,11,8,9298
03763303,8,9,9126
03763304,8,9,6325
03763313,9,10,9669
03763314,9,10,10198
03763323,11,11,10836
03763333,9,10,12135
03763334,9,11,13273
03763363,8,9,10236
03763364,8,10,10647
03763373,8,9,12738
03763374,8,9,13436
03763393,11,11,12720
03763394,11,11,13223
03763403,9,11,10887
03763404,9,11,16143
03763423,9,11,9144
03763424,9,11,12297
03763433,11,10,10243
03763434,11,10,9790
03763453,11,11,12096
03763454,11,11,14026
03763484,12,12,9026
03763523,12,12,11108
03763524,12,11,12710
03763533,8,10,11819
03763534,8,8,14186
03763543,10,11,8970
03763544,10,11,11221
03763553,9,10,9833
03763554,10,10,10141
03763563,11,10,9215
03763564,11,11,9066
03763573,12,12,11761
03763574,12,12,11559
03763583,10,11,11292
03763584,10,11,11910
03763593,10,11,8671
03763603,11,10,16920
03763604,11,10,16726
03763613,10,11,11713
03763623,12,12,8433
03763624,12,12,10880
03763633,8,10,9375
03763634,7,7,13369
03763663,12,9,3055
03763664,12,10,4953
03763693,9,10,8923
03763703,11,11,12506
03763704,11,11,10955
03763713,9,11,8048
03763714,9,11,9995
03763723,8,9,11921
03763724,8,9,13165
03763753,9,9,13679
03763754,9,10,7637
03763773,10,10,11455
03763774,11,10,11829
03763783,9,9,15923
03763784,9,8,17344
03763803,11,10,8718
03763804,11,10,8333
03763823,10,11,18443
03763824,10,10,10496
03763833,12,12,6235
03763843,11,11,10946
03763853,9,11,9396
03763854,10,11,12163
03763863,10,12,12115
03763864,10,12,12953
03763933,10,10,13069
03763934,10,10,13955
03763953,11,11,8392
03763954,11,11,8778
03763973,9,11,14951
03763974,9,11,14633
03763983,11,12,11181
03763993,9,11,12157
03763994,9,11,14335
03764013,9,10,11083
03764014,9,10,12595
03764043,12,11,13632
03764044,12,11,14037
03764053,9,10,10613
03764054,9,10,10987
03764073,11,12,11372
03764074,11,11,12139
03764103,10,10,9932
03764104,9,10,12668
03764113,12,11,7696
03764114,12,11,10700
03764123,10,11,10562
03764124,10,11,12291
03764143,11,9,13159
03764153,12,12,12926
03764154,12,11,12455
03764193,10,11,15014
03764194,10,11,15782
03764203,12,12,13350
03764204,12,12,12334
03764213,9,11,16995
03764253,12,13,10706
03764254,12,12,10522
03764263,13,12,9355
03764264,13,12,10092
03764283,11,,9460
03764284,11,,10714
03764293,11,11,12862
03764294,11,,10283
03764303,11,11,12439
03764304,11,11,12664
03764314,10,11,10550
03764333,8,8,9631
03764334,8,8,9322
03764353,11,11,8329
03764354,11,11,11078
03764373,12,11,12269
03764374,12,12,11872
03764403,11,10,7316
03764404,11,10,6660
03764413,12,11,9562
03764414,12,11,11523
03764423,9,12,18001
03764424,9,11,11628
03764433,12,12,10406
03764434,12,12,11253
03764443,10,10,7238
03764444,10,10,9866
03764483,11,11,12458
03764484,11,11,12271
03764493,13,12,19733
03764494,12,12,19669
03764503,12,10,12961
03764504,12,11,7961
03764523,10,11,10501
03764524,10,11,11629
03764533,12,12,12710
03764534,12,11,13991
03764593,11,9,9025
03764594,10,11,8698
03764643,10,11,12278
03764644,10,11,12537
03764653,9,10,9484
03764654,9,10,9973
03764663,9,12,8834
03764664,9,12,8473
03764673,12,12,7298
03764674,12,12,7393
03764683,8,9,8589
03764684,9,9,7167
03764693,10,10,12231
03764694,10,11,12369
03764703,8,9,3205
03764704,8,9,3705
03764714,12,12,6086
03764733,11,12,10961
03764734,11,12,11004
03764743,10,10,9907
03764744,10,8,11794
03764753,11,12,16234
03764754,11,12,11349
03764783,12,12,7439
03764784,12,11,8389
03764823,12,11,7537
03764824,11,11,11540
03764834,10,11,15030
03764844,13,11,12640
03764873,9,11,9540
03764874,9,11,13181
03764893,9,10,9226
03764894,10,10,11265
03764943,11,10,7171
03764944,11,10,9581
03764953,11,12,12732
03764954,11,12,14100
03764983,9,7,7359
03764984,9,10,10155
03764993,9,11,12639
03764994,9,10,13303
03765023,9,9,16318
03765024,9,9,12734
03765033,8,9,14822
03765034,8,10,15834
03765043,10,9,6108
03765073,10,11,10144
03765074,10,10,10237
03765083,9,12,13244
03765084,9,11,14471
03765104,10,11,10504
03765113,11,11,8284
03765143,12,11,10436
03765144,12,12,7680
03765153,9,10,12803
03765154,9,10,13421
03765163,9,10,11400
03765164,9,11,8372
03765174,11,11,12025
03765193,11,10,13939
03765194,11,10,12997
03765223,9,11,16912
03765224,9,11,11790
03765233,11,10,10114
03765234,10,11,11826
03765253,12,12,12824
03765254,12,12,13338
03765263,12,11,14343
03765264,12,11,14418
03765273,8,9,8981
03765274,8,9,7205
03765293,11,10,9419
03765294,11,10,10498
03765333,11,12,12425
03765343,9,9,11786
03765344,8,10,13511
03765373,11,11,1247
03765374,11,12,1591
03765403,9,7,11262
03765404,9,11,10322
03765423,9,10,10229
03765443,8,10,14168
03765444,8,10,14856
03765453,10,10,9323
03765454,9,10,15161
03765483,11,11,10780
03765484,11,11,10701
03765543,11,11,12421
03765544,11,12,15066
03765563,9,11,11263
03765564,10,11,9884
03765573,12,10,12643
03765574,12,11,10258
03765613,10,11,13506
03765614,9,10,13722
03765623,11,,10579
03765624,12,12,14758
03765633,12,13,8572
03765634,12,12,10672
03765663,11,12,11245
03765664,13,12,9332
03765673,11,11,7700
03765674,11,10,5654
03765694,9,10,14167
03765703,11,11,7405
03765713,8,9,10590
03765714,8,8,10594
03765723,11,11,7717
03765724,11,11,8851
03765733,12,11,8684
03765734,12,10,12145
03765743,12,10,12859
03765754,12,11,9988
03765783,13,11,13283
03765784,11,10,14485
03765793,9,10,11999
03765794,9,10,11636
03765813,12,12,8288
03765814,12,12,8717
03765843,10,13,1780
03765854,14,12,9377
03765923,9,11,14330
03765924,9,11,15518
03765943,9,10,14488
03765944,9,10,13549
03765963,10,10,13282
03765964,10,10,9165
03765983,12,11,12208
03765984,12,11,11986
03765993,9,11,13680
03765994,9,11,13694
03766033,11,10,8841
03766034,11,10,12077
03766053,11,11,9444
03766063,10,11,9777
03766064,10,11,7741
03776132,9,11,17766
03776133,11,11,12581
03776142,10,11,10374
03776143,12,11,10587
03776144,11,10,9558
03776152,11,11,10124
03776153,12,11,9582
03776154,12,11,9890
03776212,11,11,4040
03776213,12,11,3218
03776214,12,11,4565
03776224,11,12,1516
03776233,8,9,12871
03776234,9,11,18532
03776252,9,10,9945
03776253,10,10,7483
03776254,11,10,10032
03776262,10,12,17033
03776263,11,12,15195
03776264,11,12,15739
03776282,9,10,11899
03776283,10,10,10648
03776284,11,10,14268
03776292,8,11,6728
03776293,9,11,9470
03776294,9,11,8393
03776312,10,12,12407
03776313,11,12,11829
03776314,11,12,15045
03776332,10,11,10728
03776333,11,11,13237
03776334,11,10,8941
03776342,11,,16538
03776343,12,,13589
03776344,12,11,11406
03776354,8,11,6816
03776362,12,12,11859
03776363,13,12,11342
03776364,13,12,13141
03776382,4,5,30847
03776392,8,6,4932
03776393,9,9,8861
03776394,,9,8886
03776412,11,11,10452
03776413,12,11,10483
03776414,12,10,7626
03776432,9,11,16039
03776452,10,11,10425
03776453,11,11,9436
03776454,11,11,12498
03776482,10,11,14414
03776483,12,11,13653
03776492,10,10,9346
03776493,11,10,9605
03776502,8,10,4924
03776503,10,11,5438
03776512,8,10,3011
03776513,9,10,3676
03776514,9,10,3613
03776532,11,11,13832
03776533,12,11,12487
03776534,12,12,15800
03776542,7,10,11729
03776543,9,10,11950
03776544,8,10,12185
03776552,8,11,11090
03776553,10,11,8141
03776554,9,11,10413
03776563,12,11,10458
03776564,12,12,12103
03776574,10,12,11979
03776593,13,11,12565
03776594,13,12,12219
03776602,10,12,13468
03776612,10,11,11098
03776613,11,11,7911
03776614,11,11,10432
03776632,8,11,13400
03776633,9,11,15230
03776642,11,12,10324
03776643,12,12,9495
03776644,12,12,9354
03776652,8,10,7642
03776662,10,11,13864
03776663,11,10,13549
03776664,11,10,14316
03776672,10,11,9107
03776673,11,11,8461
03776674,11,12,8503
03776692,10,8,9312
03776702,8,10,8642
03776703,9,10,7975
03776714,9,11,8561
03776722,10,11,10452
03776724,11,11,11396
03776732,8,7,7752
03776733,9,8,10753
03776734,9,10,9545
03776742,11,12,11753
03776743,12,11,7056
03776744,12,12,12060
03776752,8,10,10398
03776753,9,10,11146
03776754,9,10,11918
03776772,10,11,9310
03776773,11,11,11887
03776774,11,11,11502
03776792,11,10,6420
03776793,12,10,8510
03776794,12,11,7892
03776832,10,,9665
03776833,11,,9681
03776834,11,5,9853
03776872,11,12,12899
03776873,12,12,9441
03776874,12,12,12749
03776882,10,12,14932
03776883,11,11,11324
03776884,11,11,12134
03776892,9,12,7752
03776893,10,12,11160
03776894,10,12,10828
03776912,8,11,7186
03776913,9,11,7019
03776914,9,11,6679
03776923,9,9,9722
03776932,12,13,14652
03776933,13,13,11803
03776972,10,10,10044
03776973,10,11,7285
03776974,11,10,10529
03777012,9,10,10580
03777013,9,10,11910
03777014,9,10,10726
03777042,8,11,9517
03777043,9,11,8924
03777044,9,11,8949
03777052,10,11,12487
03777053,11,10,12207
03777054,11,10,9151
03777083,12,11,9815
03777084,12,10,11931
03777092,9,12,8607
03777093,10,12,11337
03777094,10,12,7282
03777112,11,12,9377
03777113,12,12,6285
03777114,12,12,6909
03777122,10,11,12923
03777123,11,11,9108
03777124,11,12,7665
03777143,9,10,10428
03777162,10,10,12948
03777163,11,10,10529
03777164,11,10,9264
03777182,7,10,9784
03777183,8,10,11018
03777192,10,10,13644
03777193,12,10,10748
03777194,12,10,13182
03777222,10,12,16892
03777223,11,12,16243
03777224,12,13,16281
03777232,10,11,10301
03777233,11,11,10787
03777234,11,11,8402
03777262,10,8,10395
03777263,12,8,10204
03777264,12,11,10677
03777272,9,11,8105
03777273,10,11,7768
03777274,11,11,10462
03777282,10,12,8284
03777283,12,12,10688
03777284,12,12,11314
03777322,12,10,6768
03777323,13,12,4930
03777324,14,10,6407
03777332,11,13,13791
03777333,,12,15048
03777334,12,11,14983
03777342,10,11,15735
03777343,11,11,12015
03777344,11,11,19869
03777352,10,11,10994
03777353,11,11,10617
03777354,11,11,9541
03777362,8,10,10731
03777363,10,9,5929
03777364,9,,11992
03777382,11,11,3473
03777383,12,11,4013
03777384,12,10,3812
03777394,11,11,11191
03777412,8,10,8405
03777413,9,9,8181
03777414,9,9,9254
03777472,10,11,17172
03777473,12,11,15801
03777474,11,11,16806
03777482,10,,12609
03777483,11,,11081
03777484,11,,12341
03777502,9,11,11915
03777503,10,11,8449
03777504,10,11,10930
03777552,8,11,12658
03777553,11,11,8493
03777554,9,11,7812
03777582,9,11,15981
03777602,8,12,9645
03777603,9,12,9540
03777612,10,11,10973
03777613,10,11,9809
03777614,11,11,8473
03777622,8,9,6407
03777623,9,9,9489
03777624,8,10,9963
03777632,10,9,12066
03777633,11,10,11652
03777642,11,11,3705
03777643,12,11,3746
03777644,12,11,3574
03777672,10,11,9065
03777713,8,10,12894
03777714,9,10,13652
03777723,10,10,5845
03777724,11,11,6549
03777772,9,12,9436
03777792,7,10,12251
03777802,8,11,9170
03777803,10,11,8905
03777804,9,11,5824
03777812,9,7,11485
03777813,10,7,11804
03777814,10,11,11337
03777832,11,12,13704
03777833,11,11,13846
03777834,11,11,15603
03777842,10,10,8290
03777843,11,10,8069
03777844,11,10,8184
03777852,9,11,14735
03777853,11,11,14009
03777854,10,11,14906
03777872,9,10,9300
03777873,10,10,7404
03777874,9,10,9101
03777882,11,12,11936
03777883,12,12,11467
03777884,12,11,11603
03777892,9,10,9042
03777893,10,10,12793
03777894,10,10,11082
03777924,9,11,11907
03777932,7,10,11925
03777933,8,9,8505
03777934,8,10,12075
03777962,10,11,12072
03777963,11,11,10097
03777964,11,12,11670
03777982,9,10,6391
03777983,10,10,9420
03777984,10,10,8931
03777992,10,11,10834
03777993,11,11,12460
03777994,11,11,12063
03778012,10,12,8578
03778013,10,12,10140
03778014,11,11,6995
03778042,10,12,10815
03778043,11,12,11816
03778044,11,12,12288
03778092,9,11,11779
03778093,10,11,11547
03778094,10,11,13260
03778102,11,11,10267
03778103,12,11,10257
03778104,12,12,11003
03778123,9,10,12873
03778124,10,11,17132
03778142,9,11,9142
03778143,11,11,9049
03778144,10,11,8062
03778162,8,9,10170
03778163,9,10,15624
03778164,9,11,13365
03778172,8,9,9451
03778173,9,9,14956
03778184,9,10,14170
03778242,8,10,9005
03778254,10,11,6962
03778262,11,,11945
03778263,12,,12968
03778264,12,12,19948
03778273,9,11,12521
03778274,10,11,10003
03778292,9,11,13875
03778293,10,11,13806
03778312,7,10,8001
03778313,9,10,11588
03778314,9,10,12380
03778322,10,10,15381
03778323,11,10,15001
03778324,11,9,14526
03778332,10,12,3643
03778333,11,12,3516
03778334,11,12,3730
03778362,9,11,14006
03778383,11,10,13454
03778384,11,11,11629
03778392,9,10,11256
03778393,10,10,12315
03778394,11,10,12009
03778422,12,11,11271
03778423,13,10,10683
03778444,12,11,8083
03778482,8,10,11990
03778483,8,10,11076
03778484,8,10,11108
03778512,10,12,14630
03778513,11,12,12607
03778514,12,11,14891
03778522,8,10,12221
03778523,9,10,14152
03778524,9,9,13757
03778532,10,12,13198
03778533,12,12,14242
03778534,12,12,14782
03778542,10,12,8658
03778543,11,12,7064
03778544,10,11,9739
03778564,14,11,10749
03778572,10,11,12267
03778573,11,11,8159
03778574,11,11,9200
03778602,8,11,12959
03778632,10,,9443
03778642,7,9,11067
03778643,7,9,10808
03778644,9,9,11343
03778652,10,12,11582
03778654,11,12,11858
03778662,10,12,23509
03778663,11,12,17339
03778664,11,11,18074
03778672,8,11,15706
03778673,9,11,16151
03778674,10,12,15568
03778682,11,12,12889
03778683,12,12,12753
03778684,12,11,12945
03778692,9,11,9575
03778693,10,11,13048
03778694,10,10,8532
03778703,9,10,11243
03778704,9,9,12643
03778712,10,7,5782
03778713,11,7,9195
03778714,11,9,9030
03778722,11,11,10600
03778723,12,11,7931
03778732,11,13,12282
03778733,12,13,7288
03778742,10,9,12459
03778752,10,11,11223
03778763,11,11,18145
03778764,12,11,16876
03778772,11,12,8327
03778773,12,12,10366
03778774,12,12,5884
03778782,10,10,14195
03778783,11,11,14161
03778784,11,11,12704
03778803,9,11,11095
03778822,9,12,10430
03778823,10,12,11141
03778852,11,11,5523
03778853,12,11,8131
03778854,12,11,7413
03778872,11,10,10026
03778922,11,11,9983
03778923,11,11,10362
03778924,11,11,10810
03778942,12,11,9772
03778943,12,11,10019
03778944,12,11,10626
03778952,10,11,7456
03778953,11,11,9475
03778954,11,11,7295
03778962,7,7,12089
03778964,8,7,13426
03778992,10,10,13471
03778993,11,10,13301
03778994,11,11,11789
03779022,10,,11174
03779023,11,,11055
03779024,11,,13702
03779062,8,9,9969
03779072,11,12,13371
03779073,11,12,12702
03779074,11,11,13477
03779082,11,12,11585
03779083,12,12,10449
03779084,12,12,11442
03779142,10,7,7318
03779143,11,7,9568
03779144,11,7,9288
03779152,9,10,10178
03779153,10,10,12121
03779154,10,10,11867
03779192,9,12,5819
03779193,11,12,8008
03779194,11,12,7242
03779212,10,12,20361
03779213,11,12,13506
03779214,11,11,18457
03779232,8,11,11570
03779242,8,10,12054
03779243,9,10,11064
03779244,9,10,12121
03779264,11,11,8494
03779292,9,11,11916
03779293,10,11,11738
03779303,10,12,21052
03779304,10,11,28648
03779322,8,11,10659
03779323,9,11,11376
03779324,9,8,7511
03779332,11,12,12994
03779334,12,12,12743
03779342,8,10,10289
03779344,9,10,10889
03779352,11,11,8995
03779353,12,11,9651
03779354,12,11,9297
03779363,8,10,7967
03779364,9,10,9287
03779372,11,12,8752
03779373,12,12,8833
03779374,12,11,11355
03779382,10,11,7999
03779383,12,11,9649
03779384,11,12,10132
03779394,10,11,14757
03779412,8,11,10225
03779413,10,11,9777
03779414,10,11,10887
03779432,9,10,11590
03779433,10,11,10308
03779434,10,11,10800
03779462,11,11,10610
03779492,9,10,12249
03779493,10,10,12962
03779494,11,11,8447
03779502,7,8,16879
03779503,8,8,17946
03779504,9,9,21852
03779512,11,11,12367
03779513,12,11,8394
03779514,12,12,12348
03779542,10,11,12583
03779543,11,11,11901
03779544,11,11,13081
03779552,11,12,8607
03779553,12,12,7183
03779554,12,12,10852
03779573,9,11,9609
03779574,10,11,8668
03779583,12,11,12593
03779584,12,11,12055
03779632,8,11,11293
03779642,8,11,12007
03779653,12,9,10180
03779654,12,10,9966
03779662,8,11,6308
03779663,10,11,8857
03779664,10,11,9379
03779672,9,10,9308
03779673,10,10,11818
03779674,10,10,8371
03779692,10,11,9313
03779693,11,11,11399
03779694,11,11,10243
03779712,8,11,12038
03779713,9,11,16497
03779714,9,11,15396
03779724,12,6,12661
03779732,8,10,11314
03779733,9,10,11562
03779734,9,11,13389
03779772,9,11,14472
03779773,11,11,9577
03779774,9,11,12088
03779832,10,11,11978
03779834,10,11,10760
03779842,12,11,10124
03779843,12,11,9582
03779844,12,11,8067
03779852,11,11,8643
03779853,9,11,12682
03779873,8,8,10866
03779892,8,11,13124
03779893,10,11,14826
03779902,10,11,8268
03779903,11,11,7394
03779904,11,11,8175
03779912,10,9,10124
03779913,11,9,9582
03779914,11,8,9890
03779932,7,10,11243
03779933,9,10,11375
03779952,11,12,13612
03779953,12,12,14539
03779954,12,12,11986
03779962,8,10,7869
03779963,9,10,12867
03779982,11,,15058
03779983,12,,17761
03779984,12,,12015
03779993,9,11,8119
03779994,9,11,8544
03780012,10,11,10533
03780013,11,11,9414
03780014,11,10,11248
03780043,11,11,8013
03780052,8,11,13647
03780053,9,11,9464
03780063,8,11,15811
03780092,7,10,10557
03780132,11,11,10599
03780133,12,11,9750
03780134,12,11,8703
03780142,10,11,10121
03780143,11,11,12857
03780144,11,11,11468
03780162,6,9,9223
03780163,8,9,11048
03780164,8,11,11699
03780182,7,10,8514
03780183,8,10,12472
03780184,9,10,13308
03780192,8,10,16797
03780193,12,10,18006
03780194,11,11,12505
03780202,9,10,6453
03780203,11,10,6245
03780204,10,10,6465
03780212,11,12,5160
03780222,6,8,12771
03780223,8,8,9504
03780224,8,9,13433
03780243,12,12,16020
03780244,12,12,16827
03780254,10,10,8908
03780262,8,11,15711
03780274,8,10,10995
03780282,10,10,10002
03780283,11,10,9274
03780284,11,10,9559
03780302,9,12,8547
03780303,10,12,10534
03780304,10,12,11627
03780312,9,11,9716
03780313,11,11,10822
03780314,11,11,10515
03780322,10,10,10918
03780323,10,10,13065
03780324,10,10,12745
03780342,10,11,8302
03780343,11,11,7023
03780344,11,11,9138
03780362,10,11,8758
03780363,12,11,11467
03780364,11,11,11807
03780372,9,12,8053
03780412,8,10,10608
03780413,10,10,12885
03780414,9,10,12658
03780422,6,9,30847
03780432,10,11,9735
03780433,11,11,8627
03780434,11,11,13514
03780442,10,11,13554
03780443,11,11,13796
03780452,9,10,10824
03780453,11,10,9587
03780454,11,10,8376
03780462,9,10,8296
03780463,10,10,10612
03780464,10,10,10871
03780474,10,11,15646
03780484,12,10,924
03780494,8,9,9982
03780504,10,12,14674
03780532,10,11,11280
03780534,11,12,11221
03780552,8,11,12396
03780562,9,9,13481
03780563,10,9,10228
03780572,10,10,11017
03780573,11,10,10602
03780574,11,10,10221
03780622,11,11,9874
03780624,12,11,9300
03780633,11,11,8719
03780634,11,11,4817
03780652,10,11,12015
03780653,11,11,8611
03780654,11,11,11817
03780662,9,10,11583
03780672,10,11,5588
03780673,11,11,5493
03780674,11,11,5171
03780682,8,8,10732
03780683,9,8,11142
03780684,9,11,12413
03780692,9,9,6974
03780693,10,9,6480
03780694,9,9,5607
03780704,11,11,11327
03780732,10,10,8337
03780733,11,10,10733
03780734,11,10,10478
03780772,8,11,9010
03780773,9,11,15043
03780774,9,10,15824
03780783,10,11,9331
03780882,10,10,5354
03780884,11,10,4913
03780912,12,11,17201
03780913,12,11,15342
03780914,,12,12488
03780922,10,12,10599
03780923,11,12,11296
03780924,10,12,10266
03780932,11,13,13766
03780933,12,12,15418
03780934,12,13,15291
03781002,7,10,13960
03781003,9,9,13578
03781004,8,10,14304
03781023,11,11,12564
03781024,11,11,8175
03781034,9,9,7378
03781052,11,11,16759
03781053,12,11,13051
03781054,12,11,15865
03781092,10,10,11282
03781093,11,10,11287
03781094,11,10,10013
03781102,10,11,9430
03781112,11,12,15218
03781113,12,12,11399
03781114,11,11,14668
03781132,9,11,10055
03781133,10,11,9363
03781134,10,11,8408
03781142,8,8,9088
03781143,9,10,11918
03781172,8,11,10947
03781173,9,11,9449
03781182,10,11,8174
03781233,9,7,6954
03781234,9,6,7930
03781242,8,9,32601
03781243,7,9,26031
03781253,9,12,14478
03781254,11,11,10131
03781272,11,11,9215
03781332,10,12,11849
03781333,11,12,7969
03781334,11,11,10733
03781342,8,11,12918
03781343,9,11,12657
03781344,9,11,14121
03781372,11,8,10002
03781373,12,8,9274
03781374,12,9,9559
03781392,12,12,10223
03781393,13,12,8182
03781394,13,12,10765
03781422,11,13,12382
03781423,13,13,13190
03781424,12,13,10925
03781462,8,12,19896
03781472,10,10,10285
03781473,10,10,13084
03781474,10,10,11916
03781492,10,10,7665
03781493,11,10,10365
03781494,11,10,10730
03781502,7,9,8763
03781503,8,9,8654
03781504,8,9,11207
03781512,8,5,10303
03781513,8,5,10317
03781514,9,5,11180
03781542,10,11,12615
03781543,11,11,12296
03781544,11,11,7945
03781563,10,11,9991
03781564,10,10,6444
03781582,7,10,15415
03781594,12,10,11574
03781622,10,12,6477
03781642,11,12,7038
03781643,12,12,6142
03781644,12,12,8771
03781652,9,10,8181
03781653,10,10,8656
03781654,10,10,8322
03781672,11,13,9738
03781673,12,13,18722
03781674,12,13,21115
03781692,9,12,10130
03781693,10,12,9654
03781694,10,12,12638
03781722,11,10,8929
03781723,12,10,12181
03781724,12,11,11400
03781732,10,12,15271
03781733,11,12,11777
03781734,11,11,15561
03781742,11,12,12803
03781743,12,12,9474
03781744,12,12,11053
03781752,7,9,7430
03781753,8,9,10206
03781754,8,9,10314
03781762,9,10,11480
03781763,11,10,11660
03781764,10,10,11099
03781774,8,8,9074
03781784,11,8,13326
03781792,8,11,10411
03781793,9,10,7799
03781794,9,10,5223
03781802,6,10,11495
03781803,7,9,11154
03781804,7,8,10900
03781823,12,11,12229
03781824,11,11,13906
03781852,9,11,11582
03781853,12,10,11178
03781854,10,10,11858
03781892,8,9,6438
03781893,9,9,6482
03781894,9,10,8739
03781922,8,9,10435
03781932,9,12,8972
03781933,10,12,12118
03781934,10,11,11197
03781942,9,10,15493
03781943,10,11,17186
03781944,10,10,17116
03781964,8,10,13256
03781972,12,11,11582
03781973,12,11,11178
03781974,12,12,11858
03781982,8,11,17488
03781983,9,12,19083
03781984,9,11,12901
03782002,10,10,12503
03782003,11,10,13131
03782004,11,11,12640
03782012,8,11,11191
03782013,9,11,11352
03782014,9,11,8963
03782032,8,12,9290
03782033,10,12,8969
03782053,12,11,12430
03782054,12,10,11734
03782062,10,11,7123
03782072,8,10,13196
03782073,10,10,15231
03782074,9,10,14209
03782082,10,11,3531
03782083,11,11,3893
03782084,12,11,3853
03782093,10,,9403
03782094,11,12,10627
03782122,8,10,10374
03782123,9,10,10220
03782124,9,10,11432
03782143,10,10,10562
03782173,11,12,11178
03782174,,12,11858
03782184,9,11,12141
03782202,10,11,22440
03782203,11,11,22827
03782204,10,11,26050
03782222,13,12,14471
03782223,13,12,13211
03782224,13,11,12399
03782232,10,,20361
03782233,11,,20046
03782234,11,,14652
03782242,8,10,15232
03782244,9,10,9525
03782252,9,11,12015
03782253,10,11,8694
03782254,10,11,10970
03782262,8,10,7867
03782263,9,11,9580
03782264,9,11,9490
03782312,10,12,13293
03782313,12,12,12656
03782324,11,11,7376
03782382,8,10,21691
03782383,9,9,16709
03782384,10,11,20644
03782392,10,11,8167
03782393,12,11,10266
03782394,12,11,10696
03782402,8,11,7584
03782403,9,11,8292
03782404,9,11,12297
03782462,8,11,28861
03782502,10,10,12442
03782503,11,9,11807
03782504,11,9,7774
03782512,10,11,8538
03782522,10,10,13760
03782523,11,11,14035
03782524,11,11,13909
03782542,8,8,12165
03782552,10,12,14438
03782553,11,12,10553
03782554,11,12,10436
03782562,11,10,9913
03782563,12,10,9466
03782564,12,10,9848
03782572,8,11,9215
03782573,10,11,8782
03782574,9,11,12047
03782582,8,10,7876
03782583,9,10,9389
03782584,9,10,9453
03782602,10,11,11016
03782633,8,8,7069
03782634,9,8,10454
03782652,9,11,13812
03782653,10,11,9513
03782654,9,11,15425
03782682,8,11,12649
03782683,11,,15987
03782692,11,12,7954
03782693,12,12,11702
03782712,7,10,11055
03782722,8,10,9753
03782723,9,10,10099
03782724,9,10,11107
03782742,6,8,12165
03782752,8,11,10463
03782753,9,11,7886
03782754,9,11,10965
03782763,11,10,7096
03782764,11,9,7711
03782782,9,10,6872
03782783,10,10,9166
03782784,10,10,8190
03782842,9,11,11889
03782843,10,11,11901
03782844,10,11,12633
03782862,8,10,5661
03782863,9,10,5333
03782864,9,10,7361
03782872,11,12,3707
03782873,12,12,2487
03782874,12,12,3677
03782882,10,11,11110
03782883,11,11,11374
03782884,12,10,10162
03782902,8,11,11275
03782903,9,11,11486
03782904,9,11,10770
03782922,7,8,7847
03782923,8,8,11216
03782924,8,8,12050
03782952,8,11,11710
03782953,9,11,12000
03782954,9,11,12273
03782963,12,12,15423
03782964,12,12,15086
03782974,7,8,9451
03782992,11,10,13045
03782993,12,10,13583
03782994,13,12,9175
03783003,10,11,10839
03783004,9,11,13846
03783012,8,10,8643
03783022,11,11,8532
03783023,11,11,8006
03783024,11,11,10280
03783033,9,10,11262
03783053,9,10,13956
03783054,9,10,8215
03783062,8,10,10521
03783063,10,10,10222
03783064,9,10,10273
03783072,8,8,9524
03783073,8,,6586
03783074,9,9,6087
03783083,11,12,15853
03783112,8,10,7641
03783113,9,11,7468
03783114,10,10,6727
03783132,10,11,16639
03783133,11,11,9997
03783134,11,11,17734
03783152,10,11,13285
03783153,10,10,10417
03783154,11,11,9797
03783162,10,11,11690
03783163,11,11,16805
03783164,11,10,18915
03783212,8,10,9003
03783222,8,11,14003
03783223,9,11,15990
03783224,9,12,17285
03783242,8,11,10932
03783243,9,11,11691
03783244,9,11,12811
03783252,9,12,10599
03783253,10,12,11296
03783254,10,12,10266
03783262,11,7,9206
03783264,12,12,5762
03783272,11,13,9710
03783273,12,13,8790
03783274,12,13,11641
03783282,10,10,10969
03783302,11,11,6820
03783313,8,10,14397
03783314,9,10,13917
03783322,7,10,6980
03783323,9,10,8155
03783324,10,10,6993
